AÃ±o;Trimestre;Internet fijo;Ingresos Dólar;Periodo;PorcentajesDeCrecimiento;2014;2015;2016;2017;2018;2019;2020;2021;2022
2014;1;2984054;358086;Ene-Mar 2014;;0,12;0,11;0,067;0,058;0,037;0,024;0,014;0,01;0,0082
2014;2;3270816;392498;Abr-Jun 2014;10%;;;;;;;;;
2014;3;3478638;417437;Jul-Sept 2014;6%;;;;;;;;;
2014;4;3950441;474053;Oct-Dic 2014;14%;;;;;;;;;
2015;1;4876385;536402;Ene-Mar 2015;13%;;;;;;;;;
2015;2;4701791;517197;Abr-Jun 2015;-4%;;;;;;;;;
2015;3;5153739;566911;Jul-Sept 2015;10%;;;;;;;;;
2015;4;5376899;591459;Oct-Dic 2015;4%;;;;;;;;;
2016;1;5936845;397769;Ene-Mar 2016;-33%;;;;;;;;;
2016;2;6534241;437794;Abr-Jun 2016;10%;;;;;;;;;
2016;3;6912442;463134;Jul-Sept 2016;6%;;;;;;;;;
2016;4;7483980;501427;Oct-Dic 2016;8%;;;;;;;;;
2017;1;8701201;504670;Ene-Mar 2017;1%;;;;;;;;;
2017;2;9678647;561362;Abr-Jun 2017;11%;;;;;;;;;
2017;3;10065998;583828;Jul-Sept 2017;4%;;;;;;;;;
2017;4;11226127;651115;Oct-Dic 2017;12%;;;;;;;;;
2018;1;13171459;487344;Ene-Mar 2018;-25%;;;;;;;;;
2018;2;14319467;529820;Abr-Jun 2018;9%;;;;;;;;;
2018;3;15410981;570206;Jul-Sept 2018;8%;;;;;;;;;
2018;4;16637687;615594;Oct-Dic 2018;8%;;;;;;;;;
2019;1;20207414;484978;Ene-Mar 2019;-21%;;;;;;;;;
2019;2;20743118;497835;Abr-Jun 2019;3%;;;;;;;;;
2019;3;21652748;519666;Jul-Sept 2019;4%;;;;;;;;;
2019;4;24169251;580062;Oct-Dic 2019;12%;;;;;;;;;
2020;1;29946216;419247;Ene-Mar 2020;-28%;;;;;;;;;
2020;2;32102476;449435;Abr-Jun 2020;7%;;;;;;;;;
2020;3;31997445;447964;Jul-Sept 2020;0%;;;;;;;;;
2020;4;33539703;469556;Oct-Dic 2020;5%;;;;;;;;;
2021;1;36676371;366764;Ene-Mar 2021;-22%;;;;;;;;;
2021;2;38239667;382397;Abr-Jun 2021;4%;;;;;;;;;
2021;3;42999944;429999;Jul-Sept 2021;12%;;;;;;;;;
2021;4;45467887;454679;Oct-Dic 2021;6%;;;;;;;;;
2022;1;55589997;455838;Ene-Mar 2022;0%;;;;;;;;;
2022;2;60335724;494753;Abr-Jun 2022;9%;;;;;;;;;
2022;3;67055930;549859;Jul-Sept 2022;11%;;;;;;;;;
